"7415",313400,"5 Alison Crescent Dunedin","5 Alison Crescent Dunedin 9011"
"7416",313401,"7 Alison Crescent Dunedin","7 Alison Crescent Dunedin 9011"
"7417",313402,"9 Alison Crescent Dunedin","9 Alison Crescent Dunedin 9011"
"7418",313405,"15 Alison Crescent Dunedin","C/O D M Hanan 13 Alison Crescent Dunedin 9011"
"7419",313406,"17 Alison Crescent Dunedin","Orari Family Trust 17 Alison Crescent Dunedin 9011"
"7420",313407,"19 Alison Crescent Dunedin","19 Alison Crescent Dunedin 9011"
"7421",313408,"33 Michie Street Dunedin","33 Michie Street Dunedin 9011"
"7422",313409,"43 Ross Street Dunedin","43 Ross Street Dunedin 9011"
"7423",313410,"49 Ross Street Dunedin","49 Ross Street Dunedin 9010"
"7424",313411,"45 Ross Street Dunedin","Bowmar Family (No 1) Trust 45 Ross Street Dunedin 9010"
"7425",313412,"30 Hart Street Dunedin","30 Hart Street Dunedin 9011"
"7426",313413,"31 Michie Street Dunedin","R W R and J M Cook Family Trust 1 Preston Crescent Dunedin 9011"
"7427",313414,"47 Ross Street Dunedin","47 Ross Street Dunedin 9010"
"7428",313415,"28 Hart Street Dunedin","28 Hart Street Dunedin 9011"
"7429",313416,"26A Hart Street Dunedin","5 Leary Street Dunedin 9011"
"7430",313417,"26 Hart Street Dunedin","26 Hart Street Dunedin 9011"
"7431",313418,"24 Hart Street Dunedin","24 Hart Street Dunedin 9011"
"7432",313419,"22 Hart Street Dunedin","22 Hart Street Dunedin 9011"
"7433",313420,"20A Hart Street Dunedin","20A Hart Street Dunedin 9011"
"7434",313421,"20 Hart Street Dunedin","20 Hart Street Dunedin 9011"
"7435",313422,"18 Hart Street Dunedin","18 Hart Street Dunedin 9011"
"7436",313423,"16 Hart Street Dunedin","16 Hart Street Dunedin 9011"
"7437",313424,"14 Hart Street Dunedin","33 Aotea Street Dunedin 9013"
"7438",313425,"12 Hart Street Dunedin","12 Hart Street Dunedin 9011"
"7439",313426,"10 Hart Street Dunedin","10 Hart Street Dunedin 9011"
"7440",313427,"8 Hart Street Dunedin","8 Hart Street Dunedin 9011"
"7441",313428,"6 Hart Street Dunedin","251 Lincoln Tai Tapu Road RD 2 Christchurch 7672"
"7442",313429,"4 Hart Street Dunedin","4 Hart Street Dunedin 9011"
"7443",313430,"17 Bellevue Street Dunedin",NA
"7444",313431,"2 Hart Street Dunedin","285 Clarks Flat Road RD 3 Lawrence 9593"
"7445",313432,"19 Bellevue Street Dunedin","19 Bellevue Street Dunedin 9011"
"7446",313433,"3 Michie Street Dunedin","Flat 207 Joy Palace 4-23-4 Manganji Hino-Shi;Tokyo 191-0024 JAPAN"
"7447",313434,"5 Michie Street Dunedin","Auckland Central Regional Office PO Box 74598 Greenlane Auckland 1546"
"7448",313435,"7 Michie Street Dunedin","7 Michie Street Dunedin 9011"
"7449",313436,"9 Michie Street Dunedin","9 Michie Street Dunedin 9011"
"7450",313437,"11 Michie Street Dunedin","11 Michie Street Dunedin 9011"
"7451",313438,"11A Michie Street Dunedin","84A Queens Drive Saint Kilda Dunedin 9012"
"7452",313439,"11B Michie Street Dunedin","84A Queens Drive Saint Kilda Dunedin 9012"
"7453",313440,"13 Michie Street Dunedin","1 Upland Street Dunedin 9010"
"7454",313441,"15 Michie Street Dunedin","15 Michie Street Dunedin 9011"
"7455",313442,"19 Michie Street Dunedin","19 Michie Street Dunedin 9011"
"7456",313443,"21 Michie Street Dunedin","PO Box 6191 Dunedin North Dunedin 9059"
"7457",313444,"21A Michie Street Dunedin","21A Michie Street Dunedin 9011"
"7458",313445,"23 Michie Street Dunedin",NA
"7459",313446,"25 Michie Street Dunedin",NA
"7460",313447,"25A Michie Street Dunedin","10 Como Street Dunedin 9010"
"7461",313448,"27 Michie Street Dunedin","10 Como Street Dunedin 9010"
"7462",313449,"29 Michie Street Dunedin","29 Michie Street Dunedin 9011"
"7463",313452,"31 Hart Street Dunedin",NA
"7464",313453,"29 Hart Street Dunedin","29 Hart Street Dunedin 9011"
"7465",313454,"27 Hart Street Dunedin","83 Outram-Mosgiel Road RD 1 Outram 9073"
"7466",313455,"25 Hart Street Dunedin","83 Outram-Mosgiel Road RD 1 Outram 9073"
"7467",313456,"50 Highgate Dunedin","50 Highgate Dunedin 9011"
"7468",313457,"48 Highgate Dunedin","48 Highgate Dunedin 9011"
"7469",313459,"44 Highgate Dunedin","44 Highgate Dunedin 9011"
"7470",313460,"42 Highgate Dunedin","G and D Dixon Family Trust 42 Highgate Dunedin 9011"
"7471",313461,"38 Highgate Dunedin","38 Highgate Dunedin 9011"
"7472",313462,"36 Highgate Dunedin","J Z and Z Z Pociecha Family Trust 36 Highgate Dunedin 9011"
"7473",313463,"24 Highgate Dunedin","Estate O M Monroe PO Box 143 Dunedin 9054"
"7474",313464,"34 Highgate Dunedin","Annie Sutherland Trust 34 Highgate Dunedin 9011"
