"1",305592,"18 Weka Street Saint Leonards Dunedin 9022"
"2",305593,"C/O Perpetual Guardian Private Bag 1965 Dunedin 9054"
"3",305594,"1 Wren Lane Saint Leonards Dunedin 9022"
"4",305595,"3 Wren Lane Saint Leonards Dunedin 9022"
"5",305596,"PO Box 2456 South Dunedin Dunedin 9044"
"6",305597,"76 St Leonards Drive Saint Leonards Dunedin 9022"
"7",305598,"74 St Leonards Drive Saint Leonards Dunedin 9022"
"8",305599,"B C and S T Whipp Family Trust 5 Kaka Road Saint Leonards Dunedin 9022"
"9",305600,"72 St Leonards Drive Saint Leonards Dunedin 9022"
"10",305601,"4 Weka Street Saint Leonards Dunedin 9022"
"11",305602,"6 Weka Street Saint Leonards Dunedin 9022"
"12",305603,NA
"13",305605,"Bradfield Wickens Family Trusat 12 Weka Street St Leonards Dunedin 9022"
"14",305606,"14 Weka Street Saint Leonards Dunedin 9022"
"15",305607,"16 Weka Street Saint Leonards Dunedin 9022"
"16",305608,"15 Wren Lane Saint Leonards Dunedin 9022"
"17",305609,"16 Weka Street Saint Leonards Dunedin 9022"
"18",305610,"11 Wren Lane Saint Leonards Dunedin 9022"
"19",305611,"16 Rue Colbert La Trompette La Rochelle FRANCE 17000"
"20",305613,"5 Weka Street Saint Leonards Dunedin 9022"
"21",305614,NA
"22",305615,"9 Weka Street Saint Leonards Dunedin 9022"
"23",305616,"11 Weka Street Saint Leonards Dunedin 9022"
"24",305617,"PO Box 5045 Moray Place Dunedin 9058"
"25",305618,"62 St Leonards Drive Saint Leonards Dunedin 9022"
"26",305619,"61 St Leonards Drive Saint Leonards Dunedin 9022"
"27",305620,"4 Tui Street Saint Leonards Dunedin 9022"
"28",305621,"60 St Leonards Drive Saint Leonards Dunedin 9022"
"29",305622,"4 Tui Street Saint Leonards Dunedin 9022"
"30",305623,"24 Takahe Terrace Saint Leonards Dunedin 9022"
"31",305624,"Private Bag 1965 Dunedin 9054"
"32",305625,"PO Box 15225 Miramar Wellington 6243"
"33",305626,"32 Island Terrace Port Chalmers 9023"
"34",305627,"11 Cambridge Road Hardwick Cambridge CB3 7QQ UNITED KINGDOM"
"35",305628,"Parker Family and W and R Clarke Trusts 14 Tui Street Saint Leonards Dunedin 9022"
"36",305629,"16 Tui Street Saint Leonards Dunedin 9022"
"37",305630,"18 Tui Street Saint Leonards Dunedin 9022"
"38",305631,"McLean Family Trust 22 Tui Street Saint Leonards Dunedin 9022"
"39",305632,"26 Tui Street Saint Leonards Dunedin 9022"
"40",305633,NA
"41",305634,"1 Tui Street Saint Leonards Dunedin 9022"
"42",305636,"PO Box 56 Dunedin 9054"
"43",305637,"Takahe Trust 14 Takahe Terrace Saint Leonards Dunedin 9022"
"44",305638,"16 Takahe Terrace Saint Leonards Dunedin 9022"
"45",305639,"10 Ruru Avenue Saint Leonards Dunedin 9022"
"46",305640,"11 Tui Street Saint Leonards Dunedin 9022"
"47",305641,"9 Tui Street Saint Leonards Dunedin 9022"
"48",305642,"8 Ruru Avenue Saint Leonards Dunedin 9022"
"49",305643,"7 Tui Street Saint Leonards Dunedin 9022"
"50",305644,"17 Takahe Terrace Saint Leonards Dunedin 9022"
"51",305645,"Susie Staley Trust and Mark Wilesmith Family Trust 15 Takahe Terrace Saint Leonards Dunedin 9022"
"52",305646,"7 Takahe Terrace Saint Leonards Dunedin 9022"
"53",305647,"Davey Family Trust 1 Takahe Terrace Saint Leonards Dunedin 9022"
"54",305648,"5 Takahe Terrace Saint Leonards Dunedin 9022"
"55",305649,"B P Morris and D E Wolken Family Trust 4A Ruru Avenue Saint Leonards Dunedin 9022"
"56",305650,"4A Ruru Avenue Saint Leonards Dunedin 9022"
"57",305651,"12 Ruru Avenue Saint Leonards Dunedin 9022"
"58",305652,"17 Tui Street Saint Leonards Dunedin 9022"
"59",305653,"14 Ruru Avenue Saint Leonards Dunedin 9022"
"60",305655,"5 Ruru Avenue Saint Leonards Dunedin 9022"
"61",305656,"11 Ruru Avenue Saint Leonards Dunedin 9022"
"62",305657,"21 Ruru Avenue Saint Leonards Dunedin 9022"
"63",305658,"42 St Leonards Drive Saint Leonards Dunedin 9022"
"64",305659,"PO Box 6225 Dunedin North Dunedin 9059"
"65",305660,"40 St Leonards Drive Saint Leonards Dunedin 9022"
"66",305661,"39 St Leonards Drive Saint Leonards Dunedin 9022"
"67",305662,"R D and K M Palmer Family Trust 17 Huia Street Saint Leonards Dunedin 9022"
"68",305663,"6 Robin Lane Saint Leonards Dunedin 9022"
"69",305664,"5 Robin Lane Saint Leonards Dunedin 9022"
"70",305665,"7 Robin Lane Saint Leonards Dunedin 9022"
"71",305666,NA
"72",305668,"35 St Leonards Drive Saint Leonards Dunedin 9022"
"73",305669,"PO Box 5045 Moray Place Dunedin 9058"
"74",305670,"25 St Leonards Drive Saint Leonards Dunedin 9022"
"75",305672,"9 Pukeko Street Saint Leonards Dunedin 9022"
"76",305673,"C/O St Leonards Playcentre 1 Pukeko Street Saint Leonards Dunedin 9022"
"77",305674,"21 St Leonards Drive Saint Leonards Dunedin 9022"
"78",305675,"R A Hewitt Family Trust 20 St Leonards Drive St Leonards Dunedin 9022"
"79",305676,"6 Moa Street Saint Leonards Dunedin 9022"
"80",305677,"Lewis Family Trust 7 Brailleys Track Port Chalmers 9023"
"81",305678,"B H and P M Whipp Family Trust 8 Moa Street Saint Leonards Dunedin 9022"
"82",305680,"PO Box 56 Dunedin 9054"
"83",305681,"M A and J R G Smith Family Trust 23 Kaka Road Saint Leonards Dunedin 9022"
"84",305682,"25 Kaka Road Saint Leonards Dunedin 9022"
"85",305685,"18 St Leonards Drive Saint Leonards Dunedin 9022"
"86",305686,"17 St Leonards Drive Saint Leonards Dunedin 9022"
"87",305687,"16 St Leonards Drive Saint Leonards Dunedin 9022"
"88",305688,"15 St Leonards Drive Saint Leonards Dunedin 9022"
"89",305689,"14 St Leonards Drive Saint Leonards Dunedin 9022"
"90",305690,"2 Korimako Street Saint Leonards Dunedin 9022"
"91",305691,"6 Korimako Street Saint Leonards Dunedin 9022"
"92",305692,"10 Korimako Street Saint Leonards Dunedin 9022"
"93",305693,"14 Korimako Street Saint Leonards Dunedin 9022"
"94",305694,"11 Moa Street Saint Leonards Dunedin 9022"
"95",305695,"29 Hart Street Dunedin 9011"
"96",305696,"9 Moa Street Saint Leonards Dunedin 9022"
"97",305697,"5 Moa Street Saint Leonards Dunedin 9022"
"98",305698,"1 Moa Street Saint Leonards Dunedin 9022"
"99",305699,"25 Dalrymple Street Dunedin 9010"
"100",305700,"37 Ruru Avenue Saint Leonards Dunedin 9022"
"101",305701,"PO Box 6545 Dunedin North Dunedin 9059"
"102",305702,"S and A Cooper Family Trust 10 St Leonards Drive Saint Leonards Dunedin 9022"
"103",305703,"2 Kiwi Street Saint Leonards Dunedin 9022"
"104",305704,"4 Kiwi Street Saint Leonards Dunedin 9022"
"105",305705,"6 Kiwi Street Saint Leonards Dunedin 9022"
"106",305706,"8 Kiwi Street Saint Leonards Dunedin 9022"
"107",305707,"W E and L S Dalziel Family Trust 1167 Athenaeum Road RD 1 Lawrence 9591"
"108",305708,"2 Kaka Road Saint Leonards Dunedin 9022"
"109",305709,"15 Korimako Street Saint Leonards Dunedin 9022"
"110",305710,"11 Korimako Street Saint Leonards Dunedin 9022"
"111",305711,"7 Korimako Street Saint Leonards Dunedin 9022"
"112",305712,"3 Korimako Street Saint Leonards Dunedin 9022"
"113",305713,NA
"114",305714,"5 Kaka Road Saint Leonards Dunedin 9022"
"115",305715,"3 Kaka Road Saint Leonards Dunedin 9022"
"116",305716,"1 Kaka Road Saint Leonards Dunedin 9022"
"117",305717,"22 Kiwi Street Saint Leonards Dunedin 9022"
"118",305718,"26 Kiwi Street Saint Leonards Dunedin 9022"
"119",305719,"9 Fairfax Street Dunedin 9010"
"120",305720,"36 Patrick Street Dunedin 9011"
"121",305721,"17 Korimako Street Saint Leonards Dunedin 9022"
"122",305722,"1 Kiwi Street Saint Leonards Dunedin 9022"
"123",305723,"Carvell Family Trust 6 St Leonards Drive Saint Leonards Dunedin 9022"
"124",305724,"5 St Leonards Drive Saint Leonards Dunedin 9022"
"125",305725,NA
"126",305726,"3 St Leonards Drive Saint Leonards Dunedin 9022"
"127",305727,"2 Huia Street Saint Leonards Dunedin 9022"
"128",305728,"4 Huia Street Saint Leonards Dunedin 9022"
"129",305729,"6 Huia Street Saint Leonards Dunedin 9022"
"130",305732,"N W and V Ensor Family Trust 12 Huia Street Saint Leonards Dunedin 9022"
"131",305733,"14 Huia Street Saint Leonards Dunedin 9022"
"132",305734,"16 Huia Street Saint Leonards Dunedin 9022"
"133",305735,"16A Huia Street Saint Leonards Dunedin 9022"
"134",305736,"Chelton Family Trust 47 Glen Atkinson Street St Heliers Auckland 1071"
"135",305737,"20 Huia Street Saint Leonards Dunedin 9022"
"136",305738,"22 Huia Street Saint Leonards Dunedin 9022"
"137",305739,"24 Huia Street Saint Leonards Dunedin 9022"
"138",305740,"28 Huia Street Saint Leonards Dunedin 9022"
"139",305741,"32 Huia Street Saint Leonards Dunedin 9022"
"140",305742,"32 Huia Street Saint Leonards Dunedin 9022"
"141",305743,"34 Huia Street Saint Leonards Dunedin 9022"
"142",305744,"36 Huia Street Saint Leonards Dunedin 9022"
